,length,letter,entropy
0,1.0,a,0.9498161836310262
0,2.0,o,1.467936253290388
0,3.0,t,1.3461021430204227
0,4.0,e,1.9464146919878953
0,5.0,e,2.4913095713019544
0,6.0,e,3.0677045533321445
0,7.0,e,3.6678223296136685
0,8.0,e,4.083253264304393
0,9.0,e,4.661311372257424
0,10.0,e,4.734427615255817
0,11.0,e,4.843661756906857
0,12.0,i,5.022179970654173
0,13.0,i,5.1986618771457955
0,14.0,i,5.263973393493985
0,15.0,i,5.21636040548727
0,16.0,i,5.657845280007925
0,17.0,i,5.86381141345144
0,18.0,i,4.809587652077415
0,19.0,o,5.861300549877341
0,20.0,a,4.431175421835206
0,21.0,o,4.698723307994115
0,22.0,e,3.4367793385362755
0,23.0,e,2.2699332185064818
0,24.0,l,2.217616662301039
0,25.0,l,2.0950323183797623
0,26.0,a,0.0
0,27.0,a,1.0070103756122089
0,28.0,a,0.7370352207277482
0,29.0,h,1.034734223954816
0,30.0,a,0.4200054002017497
0,31.0,a,0.0
0,32.0,a,0.0
0,34.0,a,0.0027504836085107897
0,45.0,e,0.010841380056331498
